folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,1,1,no_moves,19,0.349685,3719,2564,0.124025,92.4727,1651,917,0.21374,86.3686,2042,1081,0.12951,91.3043,4588,3399,0.0444248,97.058,24907,962,23976,3.86237
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,2,1,objective,19,0.353,4685,3319,0.0819524,94.6369,2117,1079,0.197405,87.7665,1903,895,0.129609,91.7318,4481,3498,0.0348771,97.8559,26230,882,25380,3.36256
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,3,1,objective,33,0.654682,7605,5469,0.0806363,95.3922,2889,1426,0.389201,73.1417,4380,2470,0.165182,89.7571,8628,5710,0.0873905,94.2032,49881,2100,47883,4.21002
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,4,1,objective,35,0.651028,7937,5746,0.0892795,95.1967,2995,1468,0.424387,70.7766,4441,2505,0.153293,90.3792,8726,5767,0.0851396,94.6246,51065,2203,48963,4.31411
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,5,1,objective,35,0.697234,8159,5863,0.0944909,94.8832,3101,1539,0.391813,72.3197,4736,2707,0.16365,89.6195,9275,6097,0.0823356,94.5547,53743,2429,51432,4.51966
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,6,1,objective,30,0.382636,4506,3293,0.0658974,95.3841,1943,860,0.217442,86.5116,2660,1174,0.11414,92.4191,5907,4570,0.045733,96.9803,28779,1142,27679,3.96817
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,7,2,objective,26,0.410422,5029,3713,0.086453,94.7212,2330,1085,0.202765,87.5576,2306,926,0.139309,91.1447,5922,4802,0.0381091,97.5635,29604,1151,28487,3.88799
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,8,2,objective,26,0.408729,5036,3666,0.0791053,94.9809,2353,1106,0.202532,87.3418,2336,948,0.146624,90.8228,6043,4891,0.0376201,97.6079,30039,1148,28926,3.8217
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,9,1,objective,30,0.406548,4679,3426,0.0624635,95.826,2007,925,0.232432,84.6486,2851,1285,0.135409,91.284,6190,4728,0.0490694,96.8063,30315,1196,29165,3.94524
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,10,1,no_moves,19,0.357763,3745,2510,0.117131,92.8685,1718,978,0.206544,86.9121,2061,1095,0.136073,90.5936,4679,3460,0.0473988,97.1098,25453,990,24501,3.88952
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,11,1,no_moves,19,0.344114,3574,2506,0.105347,93.1365,1553,850,0.211765,87.0588,2023,1076,0.129182,90.8922,4614,3404,0.0417156,97.3561,24405,873,23556,3.57714
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,12,1,objective,19,0.349469,4635,3328,0.0784255,94.8017,2074,1038,0.206166,87.8613,1868,873,0.145475,91.4089,4384,3424,0.036215,97.7512,25596,844,24774,3.29739
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,13,1,objective,35,0.681617,8033,5856,0.0889686,95.304,3008,1500,0.413333,71.3333,4623,2620,0.181298,88.626,8977,5880,0.0828231,94.4048,52068,2312,49875,4.44035
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,14,1,objective,19,0.347181,4440,3161,0.0816197,94.622,2011,1015,0.20197,87.8818,1854,873,0.127148,92.0962,4333,3383,0.0351759,97.9013,25005,837,24195,3.34733
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,15,1,objective,30,0.41609,4562,3355,0.0608048,95.8271,1949,869,0.205984,87.4568,2664,1165,0.127897,92.1888,5958,4616,0.044844,97.1404,28959,1135,27878,3.91933
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,16,1,objective,33,0.684712,7949,5707,0.0912914,95.0587,3022,1515,0.421122,70.5611,4467,2505,0.167265,89.98,8958,6046,0.0848495,94.5253,51725,2254,49575,4.35766
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,17,1,objective,37,0.650307,7731,5573,0.0798493,95.4423,2918,1428,0.420868,71.2185,4410,2467,0.16133,89.4609,8736,5825,0.0824034,94.7124,50151,2139,48114,4.26512
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,18,1,objective,35,0.685665,7913,5711,0.0879005,95.3248,2989,1456,0.432692,69.8489,4554,2532,0.167457,89.8894,9195,6178,0.0828747,94.5128,52189,2307,50015,4.42047
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,19,2,objective,26,0.420492,5049,3690,0.0780488,95.2304,2361,1129,0.182462,88.574,2385,996,0.155622,89.8594,6078,4885,0.0370522,97.7482,30287,1189,29145,3.92578
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,20,1,objective,30,0.402817,4394,3228,0.0600991,95.8488,1888,835,0.210778,86.5868,2922,1349,0.132691,91.5493,6257,4734,0.051542,96.7047,29880,1191,28728,3.98594
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,21,1,objective,19,0.35944,4578,3258,0.0859423,94.4444,2058,1038,0.191715,87.7649,1910,909,0.124312,92.5193,4438,3442,0.0345729,97.792,25736,880,24888,3.41933
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,22,2,objective,26,0.441261,5110,3767,0.0814972,94.85,2371,1100,0.190909,87.9091,2385,980,0.155102,90.2041,6086,4912,0.03807,97.6384,30324,1194,29172,3.93748
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,23,1,no_moves,19,0.364447,3658,2489,0.105263,93.4512,1649,931,0.219119,85.7143,2088,1107,0.131888,90.7859,4744,3530,0.0430595,97.1388,25207,961,24280,3.81243
A,Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Ad_s_7_100-1.txt,Ad,Ad,7,100,1,24,1,objective,37,0.702762,7719,5607,0.0832887,95.5413,2906,1407,0.407249,71.7129,4598,2642,0.152536,90.4996,8855,5784,0.0840249,94.3465,51021,2180,48942,4.27275
