folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,1,1,objective,25,0.429842,4881,3058,0.059189,95.6835,2500,1478,0.296346,80.7172,2635,1427,0.207428,88.4373,5376,3890,0.0167095,98.6889,32797,1289,31561,3.93024
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,2,2,objective,44,0.455441,5328,3426,0.0402802,96.7017,2754,1504,0.261303,83.9761,3139,1625,0.306462,81.8462,6695,4655,0.0429646,97.2718,37271,1493,35839,4.0058
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,3,1,objective,39,0.564812,5476,4096,0.0620117,96.3867,2178,1065,0.216901,84.4131,4759,2945,0.204754,87.674,8230,5128,0.0362715,97.0749,45258,1825,43526,4.03244
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,4,1,objective,27,0.425677,5138,3059,0.0549199,95.9137,2745,1678,0.239571,84.3862,2294,1203,0.197839,87.3649,5013,3705,0.0159244,98.7854,32593,1143,31504,3.50689
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,5,1,objective,27,0.413555,5085,3250,0.0516923,96.3077,2530,1463,0.34108,78.3322,2316,1217,0.16516,90.0575,4640,3362,0.0214158,98.3938,31119,1273,29907,4.09075
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,6,2,no_moves,28,0.407145,4334,3254,0.0285802,98.279,1757,839,0.238379,83.1943,2932,1639,0.160464,89.3838,5608,3709,0.0399029,96.8725,30745,1077,29722,3.50301
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,7,1,objective,27,0.435058,4711,2786,0.0524049,96.0158,2476,1531,0.239713,84.5199,2400,1257,0.220366,87.1122,5388,3980,0.0165829,98.6432,32610,1014,31648,3.10948
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,8,1,no_moves,19,0.331934,4158,2857,0.060203,95.7298,1918,1004,0.318725,81.0757,2002,1039,0.183831,89.3167,4165,3035,0.0187809,98.4514,25351,997,24388,3.93278
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,9,1,objective,23,0.410227,4397,2786,0.0534817,96.1953,2201,1275,0.290196,81.7255,2548,1463,0.221463,87.3548,5080,3535,0.0152758,98.7836,30646,1149,29545,3.74927
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,10,1,no_moves,29,0.41738,4383,3288,0.0480535,97.1715,1800,874,0.209382,84.4394,3342,2054,0.12853,90.4576,5792,3587,0.0301087,97.8534,33102,1185,31986,3.57984
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,11,1,no_moves,35,0.526348,5506,3914,0.0779254,95.35,2328,1219,0.318294,77.1124,4154,2633,0.164071,89.3657,7032,4283,0.0415597,96.848,41621,1757,39951,4.22143
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,12,2,no_moves,36,0.434516,5874,3660,0.0434426,96.612,3204,1814,0.299338,81.312,2705,1259,0.258141,83.7967,5993,4454,0.0473731,96.4975,36396,1785,34713,4.90439
B,Bd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/B/Bd-Ad_s_7_100-1.txt,Bd,Ad,7,100,1,13,2,no_moves,42,0.481761,5949,3573,0.0573748,95.9698,3265,1932,0.240166,84.7308,2961,1564,0.280691,83.5678,6455,4597,0.0308897,97.6506,39528,1589,38005,4.01994
