folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,1,2,objective,42,0.593569,7183,4672,0.0648545,95.762,3627,2015,0.167742,89.0819,3374,1814,0.293275,82.7453,7531,5408,0.0306953,97.8365,45552,1740,43886,3.81981
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,2,1,objective,33,0.425366,5182,4181,0.0514231,97.082,1871,752,0.106383,91.4894,3076,1798,0.164071,90.2113,5662,3707,0.0296736,97.6801,32065,1149,30975,3.58335
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,3,1,objective,25,0.430954,5270,3859,0.048199,97.0459,2278,1135,0.178855,88.4581,2727,1496,0.18516,89.0374,5465,3940,0.0147208,98.8325,32144,1295,30906,4.02875
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,4,1,objective,25,0.402102,5087,3463,0.0531331,96.8524,2429,1329,0.13845,90.0677,2285,1163,0.206363,87.6182,5062,3795,0.0200264,98.3663,30430,1088,29396,3.57542
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,5,1,objective,25,0.382728,4698,3516,0.0557452,96.5586,1931,950,0.185263,86.2105,2374,1236,0.161812,90.2104,4894,3566,0.0224341,98.1492,28085,1082,27038,3.85259
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,6,2,objective,28,0.431156,5672,4021,0.0629197,96.3939,2642,1356,0.224926,85.767,2553,1302,0.208141,87.3272,5390,3885,0.030888,97.8121,33106,1380,31772,4.16843
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,7,1,objective,27,0.396267,5052,3533,0.0509482,96.745,2362,1230,0.177236,88.7805,2298,1191,0.213266,87.1537,4850,3525,0.021844,98.156,29668,1130,28580,3.80882
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,8,2,objective,28,0.414015,5444,3943,0.0613746,96.5001,2475,1251,0.211031,86.7306,2495,1274,0.193878,88.1476,5305,3845,0.0283485,97.6853,31722,1168,30583,3.68199
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,9,1,objective,25,0.41487,5294,3916,0.0490296,96.8335,2258,1113,0.198562,87.6011,2563,1379,0.202321,88.4699,5197,3757,0.0154378,98.6958,31082,1314,29829,4.22753
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,10,2,objective,42,0.627955,7113,4594,0.0646495,95.2982,3588,1991,0.170266,89.2014,3470,1846,0.305525,80.9317,7764,5545,0.032101,97.5473,46043,1860,44257,4.0397
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,11,1,objective,27,0.417811,5242,3578,0.0517049,96.9536,2477,1352,0.130178,90.5325,2430,1272,0.208333,86.8711,5361,4004,0.0247253,98.1269,31749,1080,30710,3.40168
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,12,1,objective,27,0.428653,5548,4050,0.0523457,96.5926,2388,1196,0.18311,88.1271,2493,1299,0.192456,87.9908,5171,3813,0.019145,98.7149,31806,1277,30586,4.01497
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,13,1,objective,23,0.43981,5666,4047,0.0605387,96.4912,2519,1348,0.178783,88.2047,2384,1284,0.176791,89.0966,4841,3510,0.011396,99.1168,31864,1247,30667,3.91351
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,14,1,objective,23,0.446476,5675,4075,0.0549693,96.8589,2487,1300,0.182308,87.2308,2474,1371,0.174325,90.372,4889,3526,0.0136132,98.9507,32103,1299,30865,4.04635
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,15,1,objective,27,0.401431,4950,3472,0.0478111,96.7166,2309,1179,0.176421,88.2952,2346,1260,0.226984,86.9048,4900,3501,0.0191374,98.4005,29684,1131,28602,3.81013
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,16,1,objective,33,0.463323,5107,4060,0.062069,96.4286,1902,779,0.0911425,92.5546,3148,1792,0.191964,88.4487,6005,3953,0.0356691,97.4197,32618,1182,31481,3.62377
C,Cd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Ad_s_7_100-1.txt,Cd,Ad,7,100,1,17,1,objective,33,0.438965,4880,3941,0.0421213,97.4879,1701,696,0.0977011,92.3851,2993,1705,0.150147,90.4985,5640,3773,0.0251789,97.8797,31112,1014,30136,3.25919
