folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,1,1,objective,33,0.424089,5180,4233,0.0510276,96.9761,1757,662,0.125378,91.2387,2890,1590,0.137107,91.3836,5556,3775,0.0251656,97.8543,31335,1076,30315,3.43386
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,2,1,no_moves,19,0.33145,4404,3281,0.115514,92.8071,1812,864,0.306713,79.9769,2046,1078,0.213358,87.4768,4295,3135,0.0162679,98.756,25565,1093,24524,4.27538
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,3,1,objective,25,0.416582,5469,3674,0.0854654,94.6924,2628,1464,0.156421,89.4126,2309,1181,0.207451,87.6376,5157,3863,0.0183795,98.5762,32178,1182,31040,3.67332
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,4,2,objective,42,0.630592,7482,4896,0.09375,93.5866,3718,2051,0.1843,88.2984,3880,2050,0.346341,78.3415,8774,6290,0.0410175,97.2496,50023,2306,47830,4.60988
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,5,1,objective,33,0.425352,5027,4095,0.0459096,97.1917,1723,651,0.113671,91.5515,3032,1716,0.131702,91.6667,5740,3878,0.0265601,97.6276,31686,1051,30681,3.31692
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,6,1,objective,27,0.438456,5425,3700,0.0851351,94.9459,2568,1389,0.155508,89.2729,2530,1360,0.238235,85.6618,5498,4078,0.0169201,98.7494,33066,1265,31853,3.82568
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,7,1,objective,23,0.455444,5589,3927,0.0957474,94.0413,2488,1342,0.21237,85.4694,2416,1298,0.197997,88.906,4923,3580,0.0153631,98.7989,32248,1277,31034,3.95994
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,8,2,objective,42,0.48686,5585,3833,0.072528,95.017,2661,1401,0.180585,88.3655,3271,1739,0.224842,86.6015,6799,4793,0.0273315,98.0597,38030,1374,36691,3.61294
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,9,1,objective,21,0.331917,3694,2543,0.100669,93.9442,1617,886,0.269752,82.3928,1869,992,0.143145,90.7258,4049,2915,0.0188679,98.422,23742,703,23061,2.961
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,10,1,objective,31,0.413195,4854,3973,0.0485779,97.1306,1708,650,0.103077,91.6923,3086,1787,0.15221,90.4868,5613,3654,0.0347564,97.2906,30943,1115,29868,3.6034
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,11,1,objective,25,0.411623,5321,3575,0.0738462,95.2448,2560,1425,0.160702,88.8421,2215,1117,0.253357,85.2283,4954,3705,0.0178138,98.6235,31051,1158,29947,3.72935
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,12,1,objective,27,0.450019,5737,3897,0.0826277,94.6369,2704,1484,0.158356,89.0836,2362,1250,0.1976,87.52,5090,3757,0.0196966,98.6425,32961,1221,31793,3.70438
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,13,1,objective,23,0.429711,5548,3892,0.0935252,94.1932,2500,1362,0.214391,86.0499,2363,1266,0.184044,89.7314,4749,3453,0.0173762,98.6389,31583,1254,30391,3.97049
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,14,1,objective,23,0.428477,5596,3944,0.0971095,93.8387,2492,1349,0.243884,84.7294,2407,1311,0.160183,90.7704,4803,3476,0.0126582,99.1082,31956,1224,30782,3.83027
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,15,1,objective,31,0.412249,4993,4121,0.0465906,97.1609,1721,623,0.109149,91.1717,2996,1730,0.138728,91.5607,5494,3597,0.0361412,97.1087,30759,1076,29726,3.49816
D,Dd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/D/Dd-Ad_s_7_100-1.txt,Dd,Ad,7,100,1,16,1,objective,41,0.485454,5812,4112,0.0719844,95.4037,2599,1307,0.201224,86.9931,3439,1879,0.204896,87.5466,6928,4790,0.025261,98.1211,38725,1518,37258,3.91995
