folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,1,2,objective,36,0.692845,10318,7005,0.432263,75.2463,4315,2322,0.354866,77.0457,3038,1641,0.240098,85.9842,6309,4356,0.0325987,97.5436,55397,2277,53204,4.11033
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,2,1,objective,25,0.63671,9726,6872,0.461292,71.8423,3768,1981,0.443715,71.681,2608,1418,0.192525,88.5755,5278,3803,0.0126216,98.9482,49453,2460,47098,4.97442
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,3,1,objective,25,0.638526,9692,6740,0.46365,71.8694,3808,2041,0.432141,72.3665,2669,1482,0.211201,88.0567,5347,3810,0.0191601,98.6089,50156,2566,47704,5.11604
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,4,1,objective,36,0.705165,10760,7729,0.811877,58.6363,3830,1892,0.746829,59.5137,3471,2046,0.160802,89.2962,6048,3716,0.0465554,96.5285,58441,3098,55440,5.30107
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,5,1,no_moves,33,0.756627,11115,8019,0.869809,55.2189,3817,1982,0.786075,59.4854,3712,2223,0.174989,88.2591,6634,4260,0.0295775,97.6761,63053,3159,60018,5.01007
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,6,1,objective,31,0.750213,11246,7948,0.872672,55.6115,4098,2169,0.715998,61.8257,3182,1863,0.165862,89.694,5847,3751,0.0309251,97.4407,60760,3056,57791,5.02962
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,7,1,objective,25,0.633326,10712,7459,0.468427,70.854,4038,2030,0.487192,69.5567,2347,1211,0.234517,86.4575,5097,3776,0.0180085,98.6229,52155,2615,49637,5.0139
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,8,1,objective,34,0.689453,10873,7747,0.819414,57.803,3910,1982,0.728557,60.4945,3222,1832,0.16048,89.083,5863,3725,0.0402685,97.2081,58142,3135,55110,5.39197
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,9,1,objective,36,0.689399,10641,7610,0.811432,58.6728,3845,1940,0.718557,60.5155,3267,1836,0.160131,89.1612,5974,3793,0.0453467,96.6517,57281,3027,54357,5.28447
E,Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/E/Ed-Ad_s_7_100-1.txt,Ed,Ad,7,100,1,10,1,objective,25,0.612359,9605,6729,0.465597,71.5114,3738,1978,0.442872,71.6886,2608,1425,0.211228,87.5789,5304,3829,0.0148864,98.9553,49252,2473,46883,5.02112
