folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,1,1,objective,33,0.505811,5819,4507,0.105835,93.5434,2234,884,0.113122,91.0633,3245,1844,0.16974,89.2082,6174,4030,0.0352357,97.4442,35698,1536,34212,4.30276
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,2,1,objective,33,0.61329,5898,4569,0.100678,93.631,2251,885,0.117514,90.8475,3060,1700,0.179412,89.1176,5815,3856,0.0360477,97.251,34433,1470,33018,4.26916
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,3,1,objective,37,0.524373,6480,4421,0.110382,93.2821,2973,1528,0.261126,82.7225,3151,1722,0.270035,83.6237,6264,4199,0.0392951,97.428,39036,1656,37438,4.24224
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,4,1,objective,33,0.519565,5863,4447,0.10434,93.4563,2351,986,0.0841785,93.002,3168,1737,0.196315,87.9678,6182,4116,0.0381438,96.9874,35628,1522,34160,4.27192
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,5,1,objective,25,0.470899,5314,3805,0.0911958,94.0604,2297,1149,0.255875,81.5492,2662,1432,0.178073,88.9665,5412,3929,0.0150165,98.8801,32411,1344,31130,4.14674
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,6,1,objective,23,0.54652,5783,4008,0.0973054,93.8124,2597,1398,0.240343,82.4034,2397,1288,0.184783,89.9845,4820,3496,0.0151602,98.7986,32662,1290,31427,3.94954
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,7,1,no_moves,19,0.372415,4489,3281,0.113075,92.7156,1877,928,0.314655,78.7716,2135,1137,0.189094,88.5664,4376,3154,0.0174382,98.5415,26412,1154,25300,4.36923
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,8,1,objective,23,0.466934,5714,3890,0.0899743,94.1645,2620,1459,0.243317,82.5908,2390,1290,0.189922,89.3023,4820,3499,0.0145756,98.8282,32704,1255,31498,3.83745
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,9,1,objective,23,0.471009,5811,4085,0.0991432,93.4639,2568,1353,0.252772,82.8529,2466,1371,0.161196,90.2261,4856,3444,0.0174216,98.8095,33223,1349,31936,4.06044
G,Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/G/Gd-Ad_s_7_100-1.txt,Gd,Ad,7,100,1,10,1,objective,41,0.701474,7459,5260,0.0910646,94.0494,3293,1666,0.226891,85.054,3868,2123,0.284032,83.1842,8174,5789,0.0362757,97.668,47356,2121,45321,4.47884
