folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,1,1,objective,41,0.629662,9768,6802,0.408409,76.7715,3852,1963,0.445746,72.4401,3205,1704,0.191315,88.3216,6247,4230,0.0283688,97.8487,52244,2594,49741,4.96516
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,2,1,objective,25,0.640398,10324,7096,0.414459,74.6618,4024,2113,0.459063,69.2854,2547,1365,0.20293,87.9121,5242,3814,0.0175669,98.6366,51383,2668,48832,5.19238
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,3,1,objective,35,0.725794,11593,8199,0.787413,60.8733,4194,2079,0.710438,61.7605,3163,1794,0.168339,89.019,5639,3529,0.0374044,96.9963,60380,3401,57101,5.63266
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,4,1,objective,25,0.672188,11250,7690,0.427958,73.29,4323,2206,0.500907,67.8604,2358,1250,0.236,86.24,5062,3688,0.0219631,98.3189,54300,2705,51679,4.98158
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,5,1,objective,25,0.624594,10118,7053,0.417836,74.6491,3928,2035,0.476658,68.1572,2547,1338,0.183857,89.0882,5323,3899,0.0133368,99.0254,50630,2636,48115,5.2064
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,6,1,objective,25,0.491893,7834,5546,0.407321,74.7566,2944,1494,0.516064,66.8675,2175,1105,0.215385,87.2398,4567,3371,0.0183922,98.6354,39501,1998,37554,5.0581
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,7,1,no_moves,33,0.816646,11901,8403,0.817803,59.931,4207,2189,0.738693,61.9461,3686,2253,0.16245,89.2588,6521,4086,0.0274107,97.8953,66287,3363,63051,5.07339
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,8,1,objective,25,0.653542,10088,7040,0.409943,75.0994,3909,2028,0.459073,69.1321,2606,1393,0.203159,88.0833,5417,3947,0.0146947,98.8599,50744,2620,48241,5.16317
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,9,1,no_moves,33,0.822762,12080,8525,0.826628,59.2023,4304,2240,0.735714,61.9643,3599,2111,0.171009,88.9626,6460,4170,0.0285372,97.6978,66192,3454,62854,5.21815
H,Hd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/H/Hd-Ad_s_7_100-1.txt,Hd,Ad,7,100,1,10,1,objective,33,0.803218,11224,7735,0.386942,75.7337,4295,2345,0.436674,71.7271,3968,2378,0.193019,87.8049,7321,4765,0.0308499,97.5026,63236,2717,60617,4.2966
