folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,1,1,objective,33,0.734986,11601,8166,0.783003,60.9478,4210,2115,0.709693,60.9456,3282,1911,0.137624,90.9995,5736,3585,0.0365411,96.9874,60925,3381,57663,5.54945
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,2,1,objective,25,0.666921,10270,7095,0.453277,72.7837,4000,2098,0.50286,67.2545,2732,1494,0.192102,88.2865,5621,4057,0.0172541,98.6443,52717,2764,50075,5.24309
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,3,1,objective,33,0.772272,10657,7085,0.401129,74.3825,4307,2333,0.404629,69.6528,3563,2086,0.173538,89.6453,6718,4482,0.0285587,97.8358,59833,2388,57515,3.99111
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,4,1,no_moves,33,0.844115,12185,8549,0.832729,59.3052,4320,2233,0.75056,60.8598,3739,2228,0.179533,88.5996,6761,4344,0.0296961,97.675,67946,3567,64499,5.24976
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,5,1,objective,25,0.633902,10982,7421,0.430939,72.4835,4162,2095,0.519809,67.0644,2235,1181,0.212532,86.9602,4658,3396,0.020318,98.5571,52304,2764,49636,5.28449
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,6,1,objective,25,0.509925,7996,5635,0.478616,71.1624,2978,1467,0.565781,65.3715,2241,1151,0.183319,89.2268,4615,3382,0.0195151,98.3737,40931,2203,38789,5.38223
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,7,1,no_moves,25,0.647511,10899,7418,0.440685,71.5961,4108,2072,0.553571,64.8649,2232,1180,0.210169,87.2881,4624,3342,0.0203471,98.4141,51858,2751,49209,5.30487
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,8,1,no_moves,33,0.847995,12246,8567,0.860161,58.025,4391,2313,0.747514,60.7436,3568,2062,0.197866,86.8089,6522,4277,0.0287585,97.6619,67205,3557,63762,5.29276
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,9,1,objective,25,0.648475,10296,7096,0.451099,72.7875,3984,2072,0.486486,68.195,2486,1296,0.1875,88.4259,5197,3854,0.0166061,98.7026,51174,2678,48606,5.23313
I,Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/I/Id-Ad_s_7_100-1.txt,Id,Ad,7,100,1,10,1,no_moves,33,0.87944,12269,8640,0.835764,59.0394,4349,2240,0.75625,60.5357,3831,2319,0.16947,88.7451,6791,4296,0.027933,97.6024,68500,3548,65067,5.17956
