folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,1,1,objective,25,0.380444,4754,3499,0.0623035,96.1989,1969,978,0.230061,83.0266,2332,1240,0.160484,90.8065,4779,3423,0.0189892,98.4224,28399,1201,27238,4.22902
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,2,2,objective,40,0.600576,7540,5058,0.0616845,96.1052,3515,1900,0.203158,86.0,3688,2056,0.258755,84.5817,7772,5446,0.0291957,97.9251,47288,1798,45555,3.80223
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,3,1,objective,41,0.473887,6228,4806,0.0763629,95.1103,2554,1022,0.133072,90.3131,3485,1950,0.226667,85.7436,6604,4419,0.0271555,97.7823,37732,1663,36130,4.4074
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,4,1,objective,31,0.45884,5763,4516,0.0794951,94.8184,2259,899,0.140156,89.8776,3258,1773,0.236323,85.7304,6469,4496,0.0237989,98.1539,35654,1468,34230,4.11735
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,5,1,objective,23,0.430167,5797,4077,0.0507726,96.9095,2571,1368,0.237573,83.3333,2458,1374,0.181223,89.2285,4869,3464,0.0141455,98.8741,32824,1342,31553,4.08847
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,6,1,objective,33,0.463205,5779,4505,0.0961154,93.7847,2222,889,0.095613,92.0135,3184,1801,0.186008,88.8395,6076,3968,0.0362903,97.3538,35123,1497,33689,4.26216
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,7,1,objective,23,0.431314,5978,4209,0.0560703,96.5075,2628,1390,0.240288,82.518,2380,1296,0.154321,90.9722,4704,3396,0.0156066,98.881,32570,1321,31302,4.05588
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,8,1,objective,25,0.368275,4690,3429,0.0592009,96.4129,1961,979,0.199183,85.6997,2270,1191,0.183879,88.665,4654,3369,0.0172158,98.5752,27857,1068,26825,3.83387
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,9,1,objective,39,0.602135,7364,5120,0.0673828,95.7422,3302,1731,0.205084,85.9041,3876,2140,0.276168,83.8785,8230,5836,0.0318711,97.841,47328,1991,45417,4.20681
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,10,1,objective,39,0.573063,7483,5050,0.0689109,95.7822,3452,1866,0.20418,86.2808,3500,1925,0.273247,83.5844,7436,5175,0.0353623,97.7198,45985,1837,44208,3.99478
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,11,1,no_moves,29,0.435693,5613,4414,0.0804259,95.0385,2174,862,0.140371,89.6752,3011,1639,0.227578,85.9671,6020,4186,0.0212613,98.1844,33778,1325,32510,3.92267
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,12,1,objective,29,0.422065,5446,4367,0.0682391,95.5347,2069,788,0.143401,90.1015,2926,1602,0.193508,87.8277,5790,3983,0.0236003,98.0166,32520,1284,31289,3.94834
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,13,1,objective,25,0.424955,5395,3879,0.0559423,96.4424,2366,1193,0.198659,85.834,2649,1420,0.184507,89.0141,5440,3947,0.0197618,98.6065,32472,1344,31185,4.13895
J,Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/J/Jd-Ad_s_7_100-1.txt,Jd,Ad,7,100,1,14,1,objective,23,0.452503,5897,4063,0.0580852,96.5543,2705,1502,0.211718,85.6858,2517,1387,0.174477,90.0505,5017,3621,0.0135322,98.8953,33728,1359,32436,4.02929
