heuristic,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
,29.0,0.5696725,5869.0,4285.75,0.08798007499999999,94.43905000000001,2684.75,1452.5,0.26246725000000004,82.716625,3280.25,1676.75,0.220107,84.45585,7882.0,5809.5,0.0850118,94.605725,42770.0,1811.0,40988.75,4.302695
A,29.0,0.5894904999999999,5679.0,4404.5,0.0731552,95.62960000000001,2353.5,1000.5,0.08155114999999999,93.7146,3474.0,1712.5,0.23045300000000002,83.6431,8875.0,6368.0,0.08443320000000001,94.64015,43895.0,1869.0,41883.5,4.30819
B,30.0,0.525915,5191.5,3262.5,0.04529225,96.72525,2665.0,1509.5,0.2669455,82.8171,3281.5,1633.0,0.2425,83.45439999999999,8082.5,5964.5,0.09494235000000001,94.1805,40649.0,1695.5,39128.0,4.2972
C,30.0,0.5498545,5660.5,3971.0,0.05981395,96.47625,2704.5,1395.5,0.1881135,88.0426,3306.5,1629.0,0.236999,83.19315,8068.5,6063.5,0.09722254999999999,94.11115000000001,40940.0,1753.0,39383.5,4.1742550000000005
D,28.0,0.5286660000000001,5471.0,3894.5,0.0863655,94.6346,2499.5,1327.0,0.218058,85.96025,3211.5,1577.5,0.230967,83.46805,8006.5,5895.0,0.0886541,94.42665,40669.0,1718.0,39073.5,4.25892
E,29.0,0.7286055,9922.5,6946.0,0.44175050000000005,74.37205,3836.0,1963.0,0.43773,72.04095,3279.0,1682.5,0.21918100000000001,84.42815,7867.5,5831.5,0.07743159999999999,95.20054999999999,57754.5,2779.0,55122.5,4.86426
F,28.0,0.7153754999999999,9835.5,6837.0,0.4708795,72.2666,3821.0,1940.5,0.465657,71.02510000000001,3176.5,1613.0,0.2194915,84.48355,7743.5,5726.5,0.07986655,94.9186,56113.5,2752.0,53526.0,4.973395
G,29.0,0.534693,5792.5,4121.0,0.08959465,94.2435,2439.5,1223.0,0.257989,82.61615,3223.0,1711.0,0.2207225,84.88810000000001,7727.5,5653.5,0.0893857,94.3344,40880.5,1691.0,39300.5,4.295725
H,29.0,0.7643344999999999,10391.0,7313.5,0.39918050000000005,76.5384,4047.0,2054.5,0.464653,69.8003,3360.5,1797.0,0.2140395,84.83435,7896.5,5775.0,0.07560929999999999,95.18325,60935.0,2899.5,58236.0,5.025165
I,28.0,0.739017,10153.0,7130.5,0.431368,74.39505,3902.0,1939.0,0.496004,67.699,3163.5,1671.0,0.2143985,84.682,7549.5,5647.5,0.07599675,95.23949999999999,58766.0,2850.5,56020.5,5.106705
J,29.0,0.541738,5945.5,4167.0,0.059629,96.41145,2551.5,1300.0,0.2206225,84.80685,3341.5,1749.5,0.2192015,84.9871,7789.0,5787.5,0.0855904,94.57130000000001,41645.0,1700.0,40094.0,4.16996
