file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Ad-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Ad_s_7_100-1.txt,100,62,38,0.6200,
Ad-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Bd_s_7_100-1.txt,100,88,12,0.8800,
Ad-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Cd_s_7_100-1.txt,100,57,43,0.5700,
Ad-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Dd_s_7_100-1.txt,100,75,25,0.7500,
Ad-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Ed_s_7_100-1.txt,100,84,16,0.8400,
Ad-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Fd_s_7_100-1.txt,100,82,18,0.8200,
Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Gd_s_7_100-1.txt,100,59,41,0.5900,
Ad-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Hd_s_7_100-1.txt,100,66,34,0.6600,
Ad-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Id_s_7_100-1.txt,100,61,39,0.6100,
Ad-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/A/Ad-Jd_s_7_100-1.txt,100,45,55,0.4500,
