file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Ed-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Ad_s_7_100-1.txt,100,72,28,0.7200,
Ed-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Bd_s_7_100-1.txt,100,80,20,0.8000,
Ed-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Cd_s_7_100-1.txt,100,82,18,0.8200,
Ed-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Dd_s_7_100-1.txt,100,74,26,0.7400,
Ed-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Ed_s_7_100-1.txt,100,76,24,0.7600,
Ed-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Fd_s_7_100-1.txt,100,66,34,0.6600,
Ed-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Gd_s_7_100-1.txt,100,62,38,0.6200,
Ed-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Hd_s_7_100-1.txt,100,79,21,0.7900,
Ed-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Id_s_7_100-1.txt,100,61,39,0.6100,
Ed-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/E/Ed-Jd_s_7_100-1.txt,100,64,36,0.6400,
