folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,1,1,objective,35,0.741073,10786,7292,0.481624,69.2403,4283,2255,0.4,72.2838,3414,1985,0.154156,89.8741,6500,4320,0.0240741,98.0324,59092,2654,56525,4.4913
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,2,1,objective,31,0.681789,10904,7805,0.825496,57.7963,3927,2006,0.693918,63.1605,2959,1651,0.1702,88.9158,5640,3752,0.0306503,97.2814,57567,2915,54743,5.06366
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,3,1,objective,35,0.745617,10668,7243,0.480326,69.7501,4203,2198,0.423567,71.4741,3658,2185,0.174371,89.016,6825,4455,0.0242424,98.0022,60179,2634,57643,4.37694
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,4,1,no_moves,33,0.7767,11323,8054,0.881674,54.3705,3965,2092,0.776769,59.6558,3860,2331,0.164736,88.8031,6926,4423,0.0282614,97.6939,65198,3225,62088,4.94647
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,5,1,objective,43,0.626891,9616,6650,0.480602,73.3233,3797,1952,0.447234,73.1045,3307,1841,0.191744,88.2129,6313,4167,0.0285577,97.9122,53056,2641,50514,4.97776
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,6,1,objective,25,0.627886,9755,6789,0.488437,70.4964,3804,2006,0.459621,70.6879,2727,1486,0.188425,88.7618,5567,4025,0.0154037,98.8323,50836,2665,48286,5.24235
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,7,1,objective,25,0.545831,7821,5567,0.494701,70.397,2898,1428,0.558824,66.2465,2323,1207,0.202983,88.2353,4881,3569,0.0187728,98.515,41046,2198,38928,5.35497
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,8,1,objective,25,0.646166,10508,7276,0.503848,69.0627,3938,1987,0.523905,67.69,2237,1207,0.224524,86.744,4611,3319,0.0219946,98.3127,50585,2649,48024,5.23673
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,9,1,objective,25,0.537917,7935,5558,0.486866,70.457,2988,1517,0.544496,66.9084,2285,1174,0.187394,88.4157,4791,3523,0.018734,98.524,41280,2131,39206,5.16231
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,10,1,objective,25,0.633179,9794,6816,0.493985,70.5399,3804,1994,0.467402,70.3611,2528,1346,0.198366,87.89,5218,3813,0.0149489,98.8985,49709,2587,47226,5.20429
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,11,1,objective,31,0.707543,10939,7786,0.825841,57.6419,3964,2040,0.725,61.4216,3284,1949,0.163674,90.0462,5930,3754,0.0303676,97.3895,59500,2992,56593,5.02857
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,12,1,objective,25,0.655573,9819,6831,0.490704,70.4875,3838,2045,0.45379,71.3936,2661,1463,0.172932,89.2686,5325,3815,0.0162516,98.7418,50675,2550,48235,5.03207
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,13,1,objective,25,0.532584,8041,5623,0.532812,68.3265,3021,1549,0.555197,66.1072,2326,1240,0.189516,88.7097,4771,3449,0.0171064,98.6083,42247,2236,40067,5.29268
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,14,1,no_moves,33,0.76605,11310,8146,0.883501,54.6158,3927,2053,0.779834,60.3994,3802,2281,0.16747,88.9961,6780,4322,0.0296159,97.64,64435,3189,61367,4.94917
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,15,1,no_moves,33,0.763938,11271,8118,0.880266,54.8288,3885,2045,0.787286,60.0,3797,2314,0.159896,89.8876,6665,4199,0.0326268,97.4518,64087,3148,61051,4.91207
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,16,1,no_moves,25,0.614274,10313,7192,0.488598,69.6051,3854,1921,0.508069,69.3389,2390,1321,0.203634,87.5852,4772,3363,0.0225989,98.3943,50371,2682,47788,5.32449
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,17,1,objective,33,0.695697,9377,6379,0.421853,74.369,3801,1968,0.354167,75.3557,3480,2097,0.177873,89.3658,6572,4309,0.0259921,97.9346,54521,2188,52403,4.01313
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,18,1,objective,25,0.631732,9947,6915,0.519161,69.1829,3868,2044,0.46135,71.0861,2489,1289,0.187742,89.0613,5191,3807,0.0131337,98.8968,50294,2619,47777,5.20738
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,19,1,no_moves,33,0.762705,11003,7909,0.868125,55.0512,3787,1970,0.794924,59.797,3676,2203,0.18611,87.9709,6646,4252,0.0258702,97.9069,62791,3041,59855,4.84305
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,20,1,objective,25,0.515127,7799,5506,0.502906,69.4515,2899,1451,0.544452,67.6775,2363,1261,0.165741,89.77,4793,3450,0.0197101,98.3768,41243,2095,39209,5.07965
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,21,1,no_moves,33,0.765561,11262,8151,0.865906,55.2325,3856,1981,0.794043,60.3231,3776,2238,0.191242,87.7569,6813,4361,0.0330199,97.3859,64110,3178,61038,4.9571
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,22,1,no_moves,33,0.763062,10925,7855,0.874984,55.0859,3802,1993,0.777722,61.3146,3808,2331,0.160017,89.3608,6729,4213,0.0313316,97.5789,63162,3056,60205,4.83835
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,23,1,objective,25,0.656779,9778,6762,0.504141,69.5209,3823,2027,0.463246,69.9556,2732,1530,0.192157,88.8889,5407,3840,0.015625,98.776,50944,2653,48401,5.20768
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,24,1,objective,25,0.533382,8237,5806,0.542025,67.4475,3070,1551,0.562863,66.7956,2266,1198,0.191152,88.6477,4664,3366,0.0184195,98.6037,42458,2200,40316,5.18159
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,25,1,objective,25,0.633259,9783,6807,0.503452,69.4873,3797,1992,0.462349,70.4819,2682,1447,0.190048,88.7353,5464,3971,0.0161168,98.7409,50684,2739,48072,5.40407
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,26,1,no_moves,33,0.769871,11428,8153,0.881516,54.7038,3997,2113,0.761477,60.9087,3526,2022,0.180514,88.4768,6440,4213,0.0299074,97.5077,63502,3205,60404,5.04709
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,27,1,objective,34,0.719804,10784,7680,0.827214,57.3698,3868,1968,0.767276,58.4858,3319,1914,0.164577,89.1327,5890,3702,0.0505132,96.3263,58028,3126,55002,5.38705
F,Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/F/Fd-Ad_s_7_100-1.txt,Fd,Ad,7,100,1,28,1,objective,25,0.639866,9909,6896,0.500725,69.8666,3866,2038,0.469087,70.3631,2801,1562,0.184379,88.4763,5610,4012,0.0166999,98.7288,51716,2730,49108,5.27883
