file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Fd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Ad_s_7_100-1.txt,100,71,29,0.7100,
Fd-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Bd_s_7_100-1.txt,100,70,30,0.7000,
Fd-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Cd_s_7_100-1.txt,100,65,35,0.6500,
Fd-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Dd_s_7_100-1.txt,100,77,23,0.7700,
Fd-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Ed_s_7_100-1.txt,100,52,48,0.5200,
Fd-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Fd_s_7_100-1.txt,100,63,37,0.6300,
Fd-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Gd_s_7_100-1.txt,100,65,35,0.6500,
Fd-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Hd_s_7_100-1.txt,100,75,25,0.7500,
Fd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Fd-Id_s_7_100-1.txt,100,49,51,0.4900,
Jd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/F/Jd-Id_s_7_100-1.txt,100,63,37,0.6300,
