file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Gd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Ad_s_7_100-1.txt,100,78,22,0.7800,
Gd-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Bd_s_7_100-1.txt,100,78,22,0.7800,
Gd-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Cd_s_7_100-1.txt,100,78,22,0.7800,
Gd-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Dd_s_7_100-1.txt,100,73,27,0.7300,
Gd-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Ed_s_7_100-1.txt,100,35,65,0.3500,
Gd-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Fd_s_7_100-1.txt,100,62,38,0.6200,
Gd-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Gd_s_7_100-1.txt,100,59,41,0.5900,
Gd-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Hd_s_7_100-1.txt,100,71,29,0.7100,
Gd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Id_s_7_100-1.txt,100,74,26,0.7400,
Gd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/G/Gd-Jd_s_7_100-1.txt,100,64,36,0.6400,
