file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Id-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Ad_s_7_100-1.txt,100,71,29,0.7100,
Id-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Bd_s_7_100-1.txt,100,72,28,0.7200,
Id-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Cd_s_7_100-1.txt,100,63,37,0.6300,
Id-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Dd_s_7_100-1.txt,100,77,23,0.7700,
Id-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Ed_s_7_100-1.txt,100,63,37,0.6300,
Id-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Fd_s_7_100-1.txt,100,61,39,0.6100,
Id-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Gd_s_7_100-1.txt,100,69,31,0.6900,
Id-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Hd_s_7_100-1.txt,100,70,30,0.7000,
Id-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Id_s_7_100-1.txt,100,55,45,0.5500,
Id-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/I/Id-Jd_s_7_100-1.txt,100,72,28,0.7200,
