file,path,total_games,unique_games,duplicate_games,unique_ratio,error
Jd-Ad_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Ad_s_7_100-1.txt,100,86,14,0.8600,
Jd-Bd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Bd_s_7_100-1.txt,100,91,9,0.9100,
Jd-Cd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Cd_s_7_100-1.txt,100,67,33,0.6700,
Jd-Dd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Dd_s_7_100-1.txt,100,63,37,0.6300,
Jd-Ed_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Ed_s_7_100-1.txt,100,62,38,0.6200,
Jd-Fd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Fd_s_7_100-1.txt,100,62,38,0.6200,
Jd-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Gd_s_7_100-1.txt,100,66,34,0.6600,
Jd-Hd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Hd_s_7_100-1.txt,100,63,37,0.6300,
Jd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Id_s_7_100-1.txt,100,57,43,0.5700,
Jd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100j/J/Jd-Jd_s_7_100-1.txt,100,61,39,0.6100,
