file,total_games,unique_games,duplicate_games,unique_ratio
Ad-Ad_s_7_100-1.txt,100,62,38,0.62
Ad-Ad_s_7_100-1.txt,100,62,38,0.62
Ad-Bd_s_7_100-1.txt,100,88,12,0.88
Ad-Bd_s_7_100-1.txt,100,88,12,0.88
Ad-Cd_s_7_100-1.txt,100,57,43,0.57
Ad-Cd_s_7_100-1.txt,100,57,43,0.57
Ad-Dd_s_7_100-1.txt,100,75,25,0.75
Ad-Dd_s_7_100-1.txt,100,75,25,0.75
Ad-Ed_s_7_100-1.txt,100,84,16,0.84
Ad-Ed_s_7_100-1.txt,100,84,16,0.84
Ad-Fd_s_7_100-1.txt,100,82,18,0.82
Ad-Fd_s_7_100-1.txt,100,82,18,0.82
Ad-Gd_s_7_100-1.txt,100,59,41,0.59
Ad-Gd_s_7_100-1.txt,100,59,41,0.59
Ad-Hd_s_7_100-1.txt,100,66,34,0.66
Ad-Hd_s_7_100-1.txt,100,66,34,0.66
Ad-Id_s_7_100-1.txt,100,61,39,0.61
Ad-Id_s_7_100-1.txt,100,61,39,0.61
Ad-Jd_s_7_100-1.txt,100,45,55,0.45
Ad-Jd_s_7_100-1.txt,100,45,55,0.45
Bd-Ad_s_7_100-1.txt,100,96,4,0.96
Bd-Ad_s_7_100-1.txt,100,96,4,0.96
Bd-Bd_s_7_100-1.txt,100,96,4,0.96
Bd-Bd_s_7_100-1.txt,100,96,4,0.96
Bd-Cd_s_7_100-1.txt,100,95,5,0.95
Bd-Cd_s_7_100-1.txt,100,95,5,0.95
Bd-Dd_s_7_100-1.txt,100,97,3,0.97
Bd-Dd_s_7_100-1.txt,100,97,3,0.97
Bd-Ed_s_7_100-1.txt,100,77,23,0.77
Bd-Ed_s_7_100-1.txt,100,77,23,0.77
Bd-Fd_s_7_100-1.txt,100,90,10,0.9
Bd-Fd_s_7_100-1.txt,100,90,10,0.9
Bd-Gd_s_7_100-1.txt,100,84,16,0.84
Bd-Gd_s_7_100-1.txt,100,84,16,0.84
Bd-Hd_s_7_100-1.txt,100,77,23,0.77
Bd-Hd_s_7_100-1.txt,100,77,23,0.77
Bd-Id_s_7_100-1.txt,100,82,18,0.82
Bd-Id_s_7_100-1.txt,100,82,18,0.82
Bd-Jd_s_7_100-1.txt,100,95,5,0.95
Bd-Jd_s_7_100-1.txt,100,95,5,0.95
Cd-Ad_s_7_100-1.txt,100,90,10,0.9
Cd-Ad_s_7_100-1.txt,100,90,10,0.9
Cd-Bd_s_7_100-1.txt,100,77,23,0.77
Cd-Bd_s_7_100-1.txt,100,77,23,0.77
Cd-Cd_s_7_100-1.txt,100,58,42,0.58
Cd-Cd_s_7_100-1.txt,100,58,42,0.58
Cd-Dd_s_7_100-1.txt,100,67,33,0.67
Cd-Dd_s_7_100-1.txt,100,67,33,0.67
Cd-Ed_s_7_100-1.txt,100,66,34,0.66
Cd-Ed_s_7_100-1.txt,100,66,34,0.66
Cd-Fd_s_7_100-1.txt,100,54,46,0.54
Cd-Fd_s_7_100-1.txt,100,54,46,0.54
Cd-Gd_s_7_100-1.txt,100,59,41,0.59
Cd-Gd_s_7_100-1.txt,100,59,41,0.59
Cd-Hd_s_7_100-1.txt,100,44,56,0.44
Cd-Hd_s_7_100-1.txt,100,44,56,0.44
Cd-Id_s_7_100-1.txt,100,48,52,0.48
Cd-Id_s_7_100-1.txt,100,48,52,0.48
Cd-Jd_s_7_100-1.txt,100,60,40,0.6
Cd-Jd_s_7_100-1.txt,100,60,40,0.6
Dd-Ad_s_7_100-1.txt,100,96,4,0.96
Dd-Ad_s_7_100-1.txt,100,96,4,0.96
Dd-Bd_s_7_100-1.txt,100,70,30,0.7
Dd-Bd_s_7_100-1.txt,100,70,30,0.7
Dd-Cd_s_7_100-1.txt,100,62,38,0.62
Dd-Cd_s_7_100-1.txt,100,62,38,0.62
Dd-Dd_s_7_100-1.txt,100,64,36,0.64
Dd-Dd_s_7_100-1.txt,100,64,36,0.64
Dd-Ed_s_7_100-1.txt,100,45,55,0.45
Dd-Ed_s_7_100-1.txt,100,45,55,0.45
Dd-Fd_s_7_100-1.txt,100,54,46,0.54
Dd-Fd_s_7_100-1.txt,100,54,46,0.54
Dd-Gd_s_7_100-1.txt,100,63,37,0.63
Dd-Gd_s_7_100-1.txt,100,63,37,0.63
Dd-Hd_s_7_100-1.txt,100,49,51,0.49
Dd-Hd_s_7_100-1.txt,100,49,51,0.49
Dd-Id_s_7_100-1.txt,100,37,63,0.37
Dd-Id_s_7_100-1.txt,100,37,63,0.37
Dd-Jd_s_7_100-1.txt,100,58,42,0.58
Dd-Jd_s_7_100-1.txt,100,58,42,0.58
Ed-Ad_s_7_100-1.txt,100,72,28,0.72
Ed-Ad_s_7_100-1.txt,100,72,28,0.72
Ed-Bd_s_7_100-1.txt,100,80,20,0.8
Ed-Bd_s_7_100-1.txt,100,80,20,0.8
Ed-Cd_s_7_100-1.txt,100,82,18,0.82
Ed-Cd_s_7_100-1.txt,100,82,18,0.82
Ed-Dd_s_7_100-1.txt,100,74,26,0.74
Ed-Dd_s_7_100-1.txt,100,74,26,0.74
Ed-Ed_s_7_100-1.txt,100,76,24,0.76
Ed-Ed_s_7_100-1.txt,100,76,24,0.76
Ed-Fd_s_7_100-1.txt,100,66,34,0.66
Ed-Fd_s_7_100-1.txt,100,66,34,0.66
Ed-Gd_s_7_100-1.txt,100,62,38,0.62
Ed-Gd_s_7_100-1.txt,100,62,38,0.62
Ed-Hd_s_7_100-1.txt,100,79,21,0.79
Ed-Hd_s_7_100-1.txt,100,79,21,0.79
Ed-Id_s_7_100-1.txt,100,61,39,0.61
Ed-Id_s_7_100-1.txt,100,61,39,0.61
Ed-Jd_s_7_100-1.txt,100,64,36,0.64
Ed-Jd_s_7_100-1.txt,100,64,36,0.64
Fd-Ad_s_7_100-1.txt,100,71,29,0.71
Fd-Ad_s_7_100-1.txt,100,71,29,0.71
Fd-Bd_s_7_100-1.txt,100,70,30,0.7
Fd-Bd_s_7_100-1.txt,100,70,30,0.7
Fd-Cd_s_7_100-1.txt,100,65,35,0.65
Fd-Cd_s_7_100-1.txt,100,65,35,0.65
Fd-Dd_s_7_100-1.txt,100,77,23,0.77
Fd-Dd_s_7_100-1.txt,100,77,23,0.77
Fd-Ed_s_7_100-1.txt,100,52,48,0.52
Fd-Ed_s_7_100-1.txt,100,52,48,0.52
Fd-Fd_s_7_100-1.txt,100,63,37,0.63
Fd-Fd_s_7_100-1.txt,100,63,37,0.63
Fd-Gd_s_7_100-1.txt,100,65,35,0.65
Fd-Gd_s_7_100-1.txt,100,65,35,0.65
Fd-Hd_s_7_100-1.txt,100,75,25,0.75
Fd-Hd_s_7_100-1.txt,100,75,25,0.75
Fd-Id_s_7_100-1.txt,100,49,51,0.49
Fd-Id_s_7_100-1.txt,100,49,51,0.49
Gd-Ad_s_7_100-1.txt,100,78,22,0.78
Gd-Ad_s_7_100-1.txt,100,78,22,0.78
Gd-Bd_s_7_100-1.txt,100,78,22,0.78
Gd-Bd_s_7_100-1.txt,100,78,22,0.78
Gd-Cd_s_7_100-1.txt,100,78,22,0.78
Gd-Cd_s_7_100-1.txt,100,78,22,0.78
Gd-Dd_s_7_100-1.txt,100,73,27,0.73
Gd-Dd_s_7_100-1.txt,100,73,27,0.73
Gd-Ed_s_7_100-1.txt,100,35,65,0.35
Gd-Ed_s_7_100-1.txt,100,35,65,0.35
Gd-Fd_s_7_100-1.txt,100,62,38,0.62
Gd-Fd_s_7_100-1.txt,100,62,38,0.62
Gd-Gd_s_7_100-1.txt,100,59,41,0.59
Gd-Gd_s_7_100-1.txt,100,59,41,0.59
Gd-Hd_s_7_100-1.txt,100,71,29,0.71
Gd-Hd_s_7_100-1.txt,100,71,29,0.71
Gd-Id_s_7_100-1.txt,100,74,26,0.74
Gd-Id_s_7_100-1.txt,100,74,26,0.74
Gd-Jd_s_7_100-1.txt,100,64,36,0.64
Gd-Jd_s_7_100-1.txt,100,64,36,0.64
Hd-Ad_s_7_100-1.txt,100,67,33,0.67
Hd-Ad_s_7_100-1.txt,100,67,33,0.67
Hd-Bd_s_7_100-1.txt,100,79,21,0.79
Hd-Bd_s_7_100-1.txt,100,79,21,0.79
Hd-Cd_s_7_100-1.txt,100,89,11,0.89
Hd-Cd_s_7_100-1.txt,100,89,11,0.89
Hd-Dd_s_7_100-1.txt,100,79,21,0.79
Hd-Dd_s_7_100-1.txt,100,79,21,0.79
Hd-Ed_s_7_100-1.txt,100,73,27,0.73
Hd-Ed_s_7_100-1.txt,100,73,27,0.73
Hd-Fd_s_7_100-1.txt,100,73,27,0.73
Hd-Fd_s_7_100-1.txt,100,73,27,0.73
Hd-Gd_s_7_100-1.txt,100,69,31,0.69
Hd-Gd_s_7_100-1.txt,100,69,31,0.69
Hd-Hd_s_7_100-1.txt,100,72,28,0.72
Hd-Hd_s_7_100-1.txt,100,72,28,0.72
Hd-Id_s_7_100-1.txt,100,71,29,0.71
Hd-Id_s_7_100-1.txt,100,71,29,0.71
Hd-Jd_s_7_100-1.txt,100,66,34,0.66
Hd-Jd_s_7_100-1.txt,100,66,34,0.66
Id-Ad_s_7_100-1.txt,100,71,29,0.71
Id-Ad_s_7_100-1.txt,100,71,29,0.71
Id-Bd_s_7_100-1.txt,100,72,28,0.72
Id-Bd_s_7_100-1.txt,100,72,28,0.72
Id-Cd_s_7_100-1.txt,100,63,37,0.63
Id-Cd_s_7_100-1.txt,100,63,37,0.63
Id-Dd_s_7_100-1.txt,100,77,23,0.77
Id-Dd_s_7_100-1.txt,100,77,23,0.77
Id-Ed_s_7_100-1.txt,100,63,37,0.63
Id-Ed_s_7_100-1.txt,100,63,37,0.63
Id-Fd_s_7_100-1.txt,100,61,39,0.61
Id-Fd_s_7_100-1.txt,100,61,39,0.61
Id-Gd_s_7_100-1.txt,100,69,31,0.69
Id-Gd_s_7_100-1.txt,100,69,31,0.69
Id-Hd_s_7_100-1.txt,100,70,30,0.7
Id-Hd_s_7_100-1.txt,100,70,30,0.7
Id-Id_s_7_100-1.txt,100,55,45,0.55
Id-Id_s_7_100-1.txt,100,55,45,0.55
Id-Jd_s_7_100-1.txt,100,72,28,0.72
Id-Jd_s_7_100-1.txt,100,72,28,0.72
Jd-Ad_s_7_100-1.txt,100,86,14,0.86
Jd-Ad_s_7_100-1.txt,100,86,14,0.86
Jd-Bd_s_7_100-1.txt,100,91,9,0.91
Jd-Bd_s_7_100-1.txt,100,91,9,0.91
Jd-Cd_s_7_100-1.txt,100,67,33,0.67
Jd-Cd_s_7_100-1.txt,100,67,33,0.67
Jd-Dd_s_7_100-1.txt,100,63,37,0.63
Jd-Dd_s_7_100-1.txt,100,63,37,0.63
Jd-Ed_s_7_100-1.txt,100,62,38,0.62
Jd-Ed_s_7_100-1.txt,100,62,38,0.62
Jd-Fd_s_7_100-1.txt,100,62,38,0.62
Jd-Fd_s_7_100-1.txt,100,62,38,0.62
Jd-Gd_s_7_100-1.txt,100,66,34,0.66
Jd-Gd_s_7_100-1.txt,100,66,34,0.66
Jd-Hd_s_7_100-1.txt,100,63,37,0.63
Jd-Hd_s_7_100-1.txt,100,63,37,0.63
Jd-Id_s_7_100-1.txt,100,57,43,0.57
Jd-Id_s_7_100-1.txt,100,63,37,0.63
Jd-Id_s_7_100-1.txt,100,63,37,0.63
Jd-Id_s_7_100-1.txt,100,57,43,0.57
Jd-Jd_s_7_100-1.txt,100,61,39,0.61
Jd-Jd_s_7_100-1.txt,100,61,39,0.61
