ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,-4
3,MAX,d7,-3
4,MIN,e6,-3
5,MAX,d5,0
6,MIN,e4,-1
7,MAX,d3,2
8,MIN,e3,0
9,MAX,d4,5
10,MIN,c4,5
11,MAX,b3,6
12,MIN,c3,5
13,MAX,b2,7
14,MIN,c1,5
15,MAX,b1,7
16,MIN,c2,-893
17,MAX,d1,-894
18,MIN,e2,-895
19,MAX,d2,-893
20,MIN,e1,-894
21,MAX,f1,-894
22,MIN,g2,-895
23,MAX,g1,-894
24,MIN,f2,-895
25,MAX,f3,-896
26,MIN,f4,-897
27,MAX,g3,-896
28,MIN,g4,-897
29,MAX,g5,-898
30,MIN,g6,-899
31,MAX,f5,-898
32,MIN,f6,-899
33,MAX,f7,-899
