ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,-2
3,MAX,g4,-4
4,MIN,g3,0
5,MAX,f2,-1
6,MIN,f3,1
7,MAX,g2,1
8,MIN,g1,1
9,MAX,f1,1
10,MIN,e2,3
11,MAX,d1,2
12,MIN,e1,2
13,MAX,d2,0
14,MIN,e3,2
15,MAX,d3,1
16,MIN,d4,3
17,MAX,c3,1
18,MIN,c4,4
19,MAX,b3,2
20,MIN,a4,4
21,MAX,a5,0
22,MIN,b6,1
23,MAX,b5,-1
24,MIN,a6,-1
25,MAX,a7,-1
26,MIN,b7,-1
27,MAX,c6,-3
28,MIN,d7,-2
29,MAX,c7,-2
30,MIN,d6,0
31,MAX,e7,-6
32,MIN,f7,-4
33,MAX,e6,-899
34,MIN,f6,-898
35,MAX,g5,-999
