ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,-3
3,MAX,g4,-3
4,MIN,f5,0
5,MAX,e4,-1
6,MIN,d5,2
7,MAX,d4,0
8,MIN,c5,3
9,MAX,b4,1
10,MIN,a5,3
11,MAX,a4,1
12,MIN,a3,7
13,MAX,a2,5
14,MIN,b3,7
15,MAX,b2,4
16,MIN,c3,6
17,MAX,d2,4
18,MIN,e3,4
19,MAX,e2,4
20,MIN,f3,6
21,MAX,f2,6
22,MIN,g1,6
23,MAX,f1,6
24,MIN,e1,6
25,MAX,d1,6
26,MIN,c1,8
27,MAX,b1,-892
28,MIN,c2,-893
29,MAX,d3,-894
30,MIN,c4,-895
31,MAX,b5,-896
32,MIN,c6,-895
33,MAX,b6,-896
34,MIN,a7,-894
35,MAX,a6,-895
36,MIN,b7,-896
37,MAX,c7,-897
38,MIN,d7,-897
39,MAX,d6,-898
40,MIN,e6,-898
41,MAX,e7,-899
42,MIN,f6,-899
43,MAX,f7,-999
