ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-5
3,MAX,e7,-3
4,MIN,f6,-5
5,MAX,f5,-1
6,MIN,g4,-2
7,MAX,g3,1
8,MIN,g2,0
9,MAX,g1,2
10,MIN,f1,0
11,MAX,e1,1
12,MIN,f2,-1
13,MAX,e3,2
14,MIN,f3,2
15,MAX,e2,5
16,MIN,d1,3
17,MAX,d2,5
18,MIN,d3,4
19,MAX,c2,7
20,MIN,c3,5
21,MAX,b2,7
22,MIN,b3,3
23,MAX,a4,4
24,MIN,a5,1
25,MAX,a6,2
26,MIN,b6,1
27,MAX,b5,2
28,MIN,c4,-2
29,MAX,d4,895
30,MIN,d5,894
31,MAX,c6,895
32,MIN,d7,0
33,MAX,c7,896
34,MIN,d6,897
35,MAX,c5,898
36,MIN,b4,899
37,MAX,a3,998
38,MIN,a2,999
