ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-1
3,MAX,g5,-2
4,MIN,f6,1
5,MAX,e6,0
6,MIN,d7,2
7,MAX,c6,1
8,MIN,c7,2
9,MAX,b6,1
10,MIN,a7,3
11,MAX,b7,2
12,MIN,a6,5
13,MAX,b5,3
14,MIN,c5,6
15,MAX,d4,4
16,MIN,e3,4
17,MAX,d3,3
18,MIN,e4,4
19,MAX,f4,4
20,MIN,g4,4
21,MAX,g3,4
22,MIN,g2,5
23,MAX,f3,4
24,MIN,e2,6
25,MAX,f1,4
26,MIN,g1,6
27,MAX,f2,5
28,MIN,e1,6
29,MAX,d2,5
30,MIN,c3,899
31,MAX,c2,899
32,MIN,b3,995
33,MAX,a2,996
34,MIN,a3,997
35,MAX,b2,998
36,MIN,c1,999
