ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,0
3,MAX,g4,2
4,MIN,f5,1
5,MAX,e4,3
6,MIN,e3,2
7,MAX,d2,4
8,MIN,c2,1
9,MAX,b1,3
10,MIN,c1,1
11,MAX,d1,3
12,MIN,e1,2
13,MAX,f1,3
14,MIN,g2,0
15,MAX,g1,3
16,MIN,f2,0
17,MAX,g3,3
18,MIN,f3,-1
19,MAX,e2,1
20,MIN,d3,-1
21,MAX,c3,0
22,MIN,b4,-2
23,MAX,a5,1
24,MIN,b6,-1
25,MAX,b7,896
26,MIN,c7,896
27,MAX,d6,898
28,MIN,e7,898
29,MAX,d7,899
30,MIN,e6,899
31,MAX,d5,990
32,MIN,c6,991
33,MAX,c5,992
34,MIN,d4,993
35,MAX,c4,994
36,MIN,b5,995
37,MAX,a4,996
38,MIN,a3,997
39,MAX,b3,998
40,MIN,b2,999
