ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,0
3,MAX,g4,2
4,MIN,f5,1
5,MAX,e4,3
6,MIN,e3,2
7,MAX,d2,4
8,MIN,c2,1
9,MAX,b1,3
10,MIN,c1,1
11,MAX,d1,3
12,MIN,e1,2
13,MAX,f1,3
14,MIN,f2,0
15,MAX,g3,3
16,MIN,f3,-1
17,MAX,e2,1
18,MIN,d3,-1
19,MAX,c3,0
20,MIN,b4,-2
21,MAX,a5,1
22,MIN,b6,-1
23,MAX,b7,896
24,MIN,c7,896
25,MAX,d6,898
26,MIN,e7,898
27,MAX,d7,899
28,MIN,e6,899
29,MAX,d5,990
30,MIN,c6,991
31,MAX,b5,992
32,MIN,c5,993
33,MAX,d4,994
34,MIN,c4,995
35,MAX,b3,996
36,MIN,a4,997
37,MAX,a3,998
38,MIN,b2,999
