ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,2
3,MAX,d7,1
4,MIN,e7,3
5,MAX,d6,2
6,MIN,c7,3
7,MAX,b6,2
8,MIN,a5,3
9,MAX,a6,2
10,MIN,a7,4
11,MAX,b7,3
12,MIN,c6,5
13,MAX,c5,2
14,MIN,b5,4
15,MAX,a4,1
16,MIN,a3,3
17,MAX,a2,0
18,MIN,b3,2
19,MAX,c2,-1
20,MIN,d2,0
21,MAX,d3,-1
22,MIN,e4,0
23,MAX,f3,-2
24,MIN,g4,6
25,MAX,g3,6
26,MIN,g2,7
27,MAX,f1,6
28,MIN,g1,898
29,MAX,f2,898
30,MIN,e1,899
31,MAX,e2,898
32,MIN,e3,993
33,MAX,d4,994
34,MIN,c4,995
35,MAX,b4,996
36,MIN,c3,997
37,MAX,b2,998
38,MIN,c1,999
