ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,2
3,MAX,d7,1
4,MIN,c7,2
5,MAX,c6,1
6,MIN,b7,3
7,MAX,a6,1
8,MIN,a7,3
9,MAX,b6,1
10,MIN,b5,3
11,MAX,a5,1
12,MIN,b4,3
13,MAX,a4,0
14,MIN,a3,2
15,MAX,b2,-1
16,MIN,c3,0
17,MAX,c2,-2
18,MIN,d1,-1
19,MAX,c1,-3
20,MIN,d2,-2
21,MAX,e1,-3
22,MIN,e2,-2
23,MAX,d3,-4
24,MIN,e4,-4
25,MAX,f3,-5
26,MIN,f4,-4
27,MAX,e3,-5
28,MIN,f2,-4
29,MAX,f1,-6
30,MIN,g1,-5
31,MAX,g2,-993
32,MIN,g3,-994
33,MAX,g4,-995
34,MIN,g5,-996
35,MAX,f5,-997
36,MIN,g6,-998
37,MAX,f7,-999
