ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,2
3,MAX,d7,1
4,MIN,c7,2
5,MAX,c6,1
6,MIN,b6,3
7,MAX,a7,1
8,MIN,b7,3
9,MAX,a6,1
10,MIN,b5,3
11,MAX,a5,1
12,MIN,b4,3
13,MAX,a4,0
14,MIN,a3,2
15,MAX,b2,-1
16,MIN,c3,0
17,MAX,c2,-2
18,MIN,d1,-1
19,MAX,c1,-3
20,MIN,d2,-2
21,MAX,e1,-3
22,MIN,f1,-2
23,MAX,g1,-4
24,MIN,g2,-2
25,MAX,g3,-4
26,MIN,f4,-4
27,MAX,e3,-6
28,MIN,f2,-5
29,MAX,e2,-993
30,MIN,f3,-994
31,MAX,e4,-995
32,MIN,f5,-996
33,MAX,e6,-997
34,MIN,f6,-998
35,MAX,g5,-999
