ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,2
3,MAX,g4,1
4,MIN,g5,3
5,MAX,f4,2
6,MIN,g3,3
7,MAX,g2,2
8,MIN,g1,4
9,MAX,f1,2
10,MIN,e1,4
11,MAX,f2,3
12,MIN,f3,5
13,MAX,e3,2
14,MIN,e2,4
15,MAX,d1,1
16,MIN,c1,3
17,MAX,b1,0
18,MIN,c2,2
19,MAX,b3,-1
20,MIN,b4,0
21,MAX,c4,-1
22,MIN,d5,0
23,MAX,c6,-2
24,MIN,d7,6
25,MAX,c7,6
26,MIN,b7,7
27,MAX,a6,6
28,MIN,a7,898
29,MAX,b6,898
30,MIN,a5,899
31,MAX,b5,898
32,MIN,c5,993
33,MAX,d4,994
34,MIN,d3,995
35,MAX,d2,996
36,MIN,c3,997
37,MAX,b2,998
38,MIN,a3,999
