ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,2
3,MAX,g4,1
4,MIN,g5,3
5,MAX,f4,2
6,MIN,g3,3
7,MAX,g2,2
8,MIN,g1,4
9,MAX,f1,2
10,MIN,e1,4
11,MAX,f2,3
12,MIN,f3,5
13,MAX,e3,2
14,MIN,e2,4
15,MAX,d1,1
16,MIN,c1,3
17,MAX,b1,0
18,MIN,c2,2
19,MAX,d2,-1
20,MIN,d3,1
21,MAX,c3,-1
22,MIN,b4,0
23,MAX,a3,-2
24,MIN,a4,-1
25,MAX,a5,-2
26,MIN,b6,-1
27,MAX,b5,-3
28,MIN,a6,-1
29,MAX,a7,-5
30,MIN,b7,-3
31,MAX,c7,-898
32,MIN,d6,-899
33,MAX,c5,-993
34,MIN,c6,-994
35,MAX,d5,-995
36,MIN,e6,-996
37,MAX,d7,-997
38,MIN,e7,-998
39,MAX,f7,-999
