ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,b3,-2
5,MAX,a2,0
6,MIN,a3,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,c4,-3
10,MIN,b4,-5
11,MAX,b5,-4
12,MIN,a4,-6
13,MAX,a5,-4
14,MIN,a6,-6
15,MAX,a7,-4
16,MIN,b7,-6
17,MAX,c6,-2
18,MIN,d5,-895
19,MAX,e4,-895
20,MIN,e3,-897
21,MAX,e2,-897
22,MIN,d1,-898
23,MAX,c1,-898
24,MIN,d2,-899
25,MAX,e1,-899
26,MIN,f2,-988
27,MAX,g1,-989
28,MIN,f1,-990
29,MAX,g2,-991
30,MIN,f3,-992
31,MAX,g3,-993
32,MIN,f4,-994
33,MAX,g4,-995
34,MIN,g5,-996
35,MAX,f5,-997
36,MIN,g6,-998
37,MAX,f7,-999
