ply number,player type,move,score
1,MAX,d4,
2,MIN,c4,-1
3,MAX,b3,0
4,MIN,c3,-2
5,MAX,b2,0
6,MIN,c2,-2
7,MAX,d3,-1
8,MIN,d2,-4
9,MAX,e1,-2
10,MIN,f1,-5
11,MAX,g1,-4
12,MIN,g2,-6
13,MAX,f3,-1
14,MIN,f2,-4
15,MAX,e3,-1
16,MIN,e4,-895
17,MAX,d5,-895
18,MIN,c6,-897
19,MAX,b7,-897
20,MIN,c7,-898
21,MAX,b6,-899
22,MIN,b5,-988
23,MAX,a4,-989
24,MIN,a5,-990
25,MAX,b4,-991
26,MIN,c5,-992
27,MAX,d6,-993
28,MIN,e6,-994
29,MAX,f5,-995
30,MIN,g6,-996
31,MAX,g5,-997
32,MIN,f6,-998
33,MAX,e7,-999
