ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,0
3,MAX,e7,2
4,MIN,f6,1
5,MAX,f5,3
6,MIN,g4,2
7,MAX,g3,5
8,MIN,g2,3
9,MAX,f1,5
10,MIN,g1,2
11,MAX,f2,5
12,MIN,f3,3
13,MAX,e4,6
14,MIN,d4,6
15,MAX,c3,896
16,MIN,d2,894
17,MAX,c1,895
18,MIN,d1,894
19,MAX,c2,895
20,MIN,d3,895
21,MAX,c4,898
22,MIN,d5,898
23,MAX,c5,899
24,MIN,d6,899
25,MAX,d7,988
26,MIN,c7,989
27,MAX,b7,990
28,MIN,a7,989
29,MAX,a6,992
30,MIN,b6,993
31,MAX,a5,994
32,MIN,b4,995
33,MAX,a3,996
34,MIN,a4,997
35,MAX,b3,998
36,MIN,b2,999
