ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,0
3,MAX,g5,2
4,MIN,f6,1
5,MAX,e6,3
6,MIN,d7,2
7,MAX,c7,5
8,MIN,b7,3
9,MAX,a6,5
10,MIN,a7,2
11,MAX,b6,6
12,MIN,a5,3
13,MAX,b4,6
14,MIN,b3,3
15,MAX,c3,7
16,MIN,c4,7
17,MAX,b5,10
18,MIN,c6,8
19,MAX,d5,894
20,MIN,c5,894
21,MAX,d4,895
22,MIN,e4,895
23,MAX,f4,897
24,MIN,g4,896
25,MAX,f3,897
26,MIN,g2,897
27,MAX,g3,898
28,MIN,f2,899
29,MAX,e1,992
30,MIN,e2,993
31,MAX,d2,994
32,MIN,e3,995
33,MAX,d3,996
34,MIN,c2,997
35,MAX,b1,998
36,MIN,c1,999
