folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,1,1,no_moves,23,0.160005
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,2,1,no_moves,25,0.15982
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,3,1,no_moves,23,0.168235
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,4,1,objective,21,0.185279
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,5,1,no_moves,25,0.160854
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,6,1,no_moves,23,0.170341
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,7,2,no_moves,34,0.238604
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,8,1,objective,31,0.140582
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,9,2,objective,36,0.193853
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,10,2,no_moves,34,0.316826
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,11,2,no_moves,10,0.128224
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,12,1,no_moves,21,0.163537
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,13,1,objective,35,0.173021
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,14,1,no_moves,17,0.219696
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,15,1,objective,31,0.170934
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,16,2,objective,36,0.312455
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,17,2,no_moves,34,0.2061
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,18,1,objective,27,0.210523
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,19,2,objective,32,0.269911
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,20,1,no_moves,23,0.148406
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,21,1,objective,35,0.195779
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,22,1,objective,25,0.175694
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,23,1,no_moves,9,0.128309
A,Ad-Ad_s_7_200-1.txt,Ad,Ad,7,200,1,24,1,no_moves,27,0.283527
