folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,1,1,no_moves,21,0.204372
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,2,2,objective,44,0.328056
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,3,1,no_moves,33,0.34855
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,4,1,no_moves,37,0.233838
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,5,2,objective,40,0.291754
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,6,2,objective,42,0.297502
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,7,2,objective,38,0.238449
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,8,1,no_moves,15,0.185341
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,9,1,no_moves,37,0.219209
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,10,2,no_moves,34,0.323128
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,11,1,objective,21,0.214548
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,12,1,objective,23,0.235892
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,13,2,objective,40,0.263723
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,14,1,objective,43,0.237643
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,15,2,objective,44,0.294534
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,16,2,objective,42,0.257055
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,17,2,objective,40,0.267131
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,18,2,no_moves,38,0.20296
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,19,2,no_moves,32,0.320017
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,20,1,objective,43,0.242238
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,21,2,no_moves,36,0.244626
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,22,2,no_moves,42,0.218677
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,23,2,objective,44,0.260237
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,24,1,no_moves,21,0.240085
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,25,2,no_moves,26,0.239219
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,26,2,objective,38,0.268601
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,27,2,objective,36,0.290561
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,28,1,objective,35,0.314476
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,29,2,objective,30,0.238268
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,30,2,objective,36,0.321807
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,31,1,no_moves,29,0.222156
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,32,1,no_moves,39,0.255952
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,33,1,no_moves,43,0.283524
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,34,2,objective,32,0.318279
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,35,2,no_moves,34,0.317532
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,36,2,no_moves,42,0.283512
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,37,2,no_moves,34,0.280228
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,38,1,objective,19,0.15184
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,39,2,no_moves,34,0.300615
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,40,2,objective,36,0.236747
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,41,2,objective,42,0.36277
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,42,2,no_moves,34,0.278849
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,43,2,objective,38,0.253761
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,44,2,no_moves,32,0.282456
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,45,2,objective,42,0.345437
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,46,1,no_moves,35,0.24666
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,47,1,no_moves,39,0.336958
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,48,1,objective,17,0.203044
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,49,2,objective,32,0.317909
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,50,1,objective,27,0.232585
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,51,1,no_moves,29,0.358149
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,52,1,objective,35,0.196333
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,53,2,objective,38,0.32598
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,54,2,objective,38,0.26017
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,55,2,no_moves,38,0.239228
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,56,1,objective,23,0.210248
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,57,1,no_moves,23,0.137048
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,58,2,objective,34,0.322533
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,59,1,objective,41,0.271612
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,60,1,objective,45,0.2468
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,61,1,no_moves,39,0.273148
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,62,1,no_moves,27,0.154244
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,63,1,objective,27,0.26676
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,64,1,objective,21,0.215724
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,65,1,objective,27,0.244303
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,66,1,objective,37,0.25963
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,67,1,no_moves,39,0.284239
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,68,2,objective,42,0.214448
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,69,1,no_moves,35,0.336724
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,70,2,objective,43,0.243877
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,71,1,objective,21,0.164754
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,72,2,objective,46,0.280182
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,73,2,no_moves,32,0.195281
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,74,1,objective,35,0.187935
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,75,1,objective,21,0.200785
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,76,2,no_moves,38,0.26263
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,77,1,objective,39,0.265967
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,78,2,objective,38,0.30056
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,79,2,objective,36,0.306936
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,80,1,objective,43,0.229654
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,81,2,no_moves,40,0.350089
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,82,2,no_moves,40,0.298951
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,83,1,objective,29,0.226075
B,Bd-Ad_s_7_200-1.txt,Bd,Ad,7,200,1,84,2,objective,40,0.281539
