folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,1,2,no_moves,40,0.288726
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,2,2,objective,30,0.372359
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,3,2,objective,28,0.185369
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,4,1,objective,23,0.207936
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,5,1,no_moves,23,0.192289
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,6,1,no_moves,31,0.274237
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,7,1,no_moves,25,0.173128
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,8,2,objective,40,0.243064
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,9,1,no_moves,27,0.192631
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,10,2,no_moves,22,0.158214
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,11,1,no_moves,27,0.208737
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,12,2,objective,44,0.313291
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,13,1,no_moves,27,0.181983
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,14,1,no_moves,17,0.176662
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,15,1,no_moves,9,0.144757
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,16,1,no_moves,9,0.160958
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,17,1,no_moves,9,0.151368
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,18,1,no_moves,25,0.159787
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,19,1,objective,27,0.235706
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,20,2,no_moves,36,0.275272
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,21,1,no_moves,33,0.225722
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,22,2,objective,42,0.307262
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,23,2,objective,34,0.286064
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,24,2,objective,44,0.306129
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,25,1,objective,23,0.130005
C,Cd-Ad_s_7_200-1.txt,Cd,Ad,7,200,1,26,2,objective,34,0.25077
