folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,1,1,no_moves,9,0.140815
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,2,1,objective,39,0.207529
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,3,2,objective,38,0.311143
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,4,1,no_moves,39,0.298604
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,5,2,no_moves,40,0.30433
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,6,2,objective,42,0.337238
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,7,1,objective,25,0.240819
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,8,1,objective,29,0.155818
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,9,1,objective,21,0.209465
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,10,1,no_moves,33,0.235439
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,11,1,objective,31,0.152805
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,12,1,objective,27,0.219292
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,13,1,objective,19,0.174644
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,14,1,no_moves,33,0.238599
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,15,2,objective,36,0.239756
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,16,2,no_moves,28,0.194482
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,17,1,no_moves,9,0.154645
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,18,2,objective,36,0.290915
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,19,1,no_moves,19,0.21972
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,20,1,objective,27,0.144684
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,21,2,objective,36,0.290747
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,22,2,objective,42,0.281792
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,23,1,objective,33,0.183951
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,24,2,no_moves,30,0.289612
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,25,2,no_moves,40,0.30284
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,26,2,objective,42,0.334595
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,27,1,objective,37,0.193522
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,28,1,objective,19,0.267094
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,29,1,objective,43,0.305617
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,30,1,objective,27,0.22318
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,31,1,objective,27,0.208029
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,32,1,no_moves,25,0.181541
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,33,1,no_moves,29,0.286696
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,34,1,no_moves,19,0.219833
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,35,1,no_moves,9,0.152022
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,36,2,objective,44,0.329436
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,37,2,no_moves,38,0.240453
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,38,2,objective,40,0.266084
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,39,1,no_moves,21,0.201359
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,40,1,no_moves,25,0.190903
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,41,2,objective,34,0.212129
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,42,2,objective,36,0.216792
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,43,1,no_moves,9,0.138568
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,44,1,no_moves,9,0.142058
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,45,1,no_moves,9,0.161893
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,46,2,objective,36,0.254741
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,47,1,no_moves,9,0.142617
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,48,1,no_moves,9,0.143189
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,49,1,objective,27,0.159568
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,50,2,objective,32,0.230393
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,51,1,objective,33,0.181085
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,52,1,objective,41,0.218738
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,53,2,no_moves,30,0.285217
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,54,1,no_moves,9,0.143188
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,55,1,objective,31,0.145404
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,56,1,objective,21,0.194569
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,57,1,objective,27,0.220801
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,58,2,no_moves,42,0.315916
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,59,2,objective,34,0.27224
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,60,1,objective,31,0.152334
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,61,2,objective,34,0.270812
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,62,2,objective,42,0.327003
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,63,2,objective,40,0.243433
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,64,2,no_moves,42,0.228287
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,65,1,no_moves,27,0.230318
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,66,1,no_moves,27,0.226369
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,67,2,no_moves,40,0.229879
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,68,1,no_moves,19,0.19056
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,69,1,objective,27,0.24423
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,70,1,objective,27,0.225509
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,71,2,no_moves,34,0.229807
D,Dd-Ad_s_7_200-1.txt,Dd,Ad,7,200,1,72,2,objective,38,0.308639
