folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,1,1,objective,37,0.344478
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,2,2,no_moves,30,0.342911
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,3,2,no_moves,38,0.389872
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,4,1,objective,25,0.387869
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,5,1,objective,31,0.293635
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,6,1,objective,31,0.275627
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,7,1,no_moves,23,0.378197
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,8,2,objective,40,0.450882
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,9,2,objective,44,0.454181
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,10,2,no_moves,38,0.423551
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,11,2,no_moves,34,0.331603
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,12,2,no_moves,24,0.27506
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,13,1,no_moves,33,0.251418
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,14,1,no_moves,37,0.392131
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,15,2,objective,32,0.375901
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,16,2,objective,40,0.431242
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,17,2,no_moves,26,0.311769
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,18,2,objective,38,0.500684
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,19,2,no_moves,24,0.266563
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,20,2,objective,42,0.346284
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,21,1,objective,31,0.276167
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,22,1,no_moves,41,0.376096
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,23,2,objective,34,0.430365
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,24,1,objective,17,0.303106
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,25,1,no_moves,39,0.368583
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,26,2,no_moves,30,0.285402
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,27,1,no_moves,39,0.307711
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,28,2,no_moves,24,0.284174
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,29,1,objective,31,0.316659
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,30,2,objective,12,0.224564
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,31,1,objective,37,0.325207
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,32,1,objective,31,0.276453
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,33,1,no_moves,33,0.332933
F,Fd-Ad_s_7_200-1.txt,Fd,Ad,7,200,1,34,2,no_moves,26,0.317331
