folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,1,2,objective,36,0.316401
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,2,2,objective,40,0.399669
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,3,1,objective,21,0.204184
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,4,2,objective,42,0.200808
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,5,1,no_moves,23,0.164892
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,6,1,no_moves,23,0.224613
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,7,1,objective,21,0.155951
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,8,1,objective,39,0.218202
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,9,1,objective,39,0.268366
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,10,2,objective,38,0.349693
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,11,1,no_moves,23,0.17548
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,12,1,no_moves,25,0.180521
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,13,1,objective,21,0.230823
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,14,1,objective,27,0.198582
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,15,2,no_moves,38,0.258851
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,16,2,objective,32,0.211857
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,17,1,objective,23,0.187438
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,18,1,no_moves,25,0.161795
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,19,1,objective,28,0.219907
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,20,2,no_moves,10,0.0919394
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,21,2,no_moves,26,0.201921
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,22,1,objective,31,0.164053
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,23,1,objective,19,0.213544
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,24,2,no_moves,34,0.31827
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,25,2,no_moves,8,0.0822308
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,26,2,no_moves,34,0.314933
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,27,1,objective,27,0.167281
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,28,1,no_moves,23,0.225264
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,29,2,no_moves,36,0.303995
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,30,1,objective,29,0.174114
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,31,2,no_moves,40,0.337059
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,32,2,objective,44,0.336618
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,33,2,objective,38,0.327533
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,34,2,objective,32,0.268612
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,35,2,no_moves,28,0.197507
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,36,2,objective,42,0.328688
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,37,1,no_moves,9,0.151173
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,38,2,objective,34,0.307768
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,39,2,objective,40,0.328805
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,40,2,no_moves,36,0.321295
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,41,1,objective,29,0.221498
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,42,1,no_moves,25,0.156358
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,43,1,objective,21,0.2369
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,44,1,no_moves,25,0.19974
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,45,2,no_moves,34,0.308383
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,46,2,no_moves,40,0.297046
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,47,2,objective,44,0.344041
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,48,1,no_moves,25,0.166485
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,49,2,no_moves,40,0.236651
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,50,1,no_moves,9,0.158536
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,51,1,no_moves,27,0.170707
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,52,2,no_moves,34,0.333205
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,53,1,objective,34,0.327718
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,54,2,objective,36,0.289033
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,55,2,no_moves,8,0.0906042
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,56,1,no_moves,19,0.17487
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,57,1,no_moves,37,0.324793
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,58,2,objective,40,0.299689
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,59,1,no_moves,9,0.140098
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,60,1,no_moves,27,0.178443
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,61,1,no_moves,15,0.19857
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,62,1,no_moves,21,0.227778
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,63,1,no_moves,29,0.269576
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,64,1,no_moves,13,0.202355
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,65,2,objective,36,0.3274
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,66,1,no_moves,35,0.2422
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,67,1,objective,21,0.198361
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,68,2,no_moves,40,0.324167
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,69,1,no_moves,21,0.201495
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,70,2,no_moves,36,0.209586
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,71,1,no_moves,23,0.193234
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,72,2,no_moves,32,0.311012
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,73,1,objective,31,0.248787
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,74,1,no_moves,21,0.201421
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,75,2,objective,42,0.274127
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,76,1,objective,23,0.231393
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,77,1,objective,33,0.223414
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,78,2,no_moves,36,0.340399
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,79,1,objective,27,0.171005
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,80,2,objective,44,0.330022
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,81,2,objective,34,0.355397
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,82,1,no_moves,9,0.151627
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,83,1,no_moves,9,0.147999
G,Gd-Ad_s_7_200-1.txt,Gd,Ad,7,200,1,84,1,no_moves,25,0.182616
