folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,1,2,objective,40,0.358238
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,2,2,no_moves,38,0.431896
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,3,2,no_moves,34,0.404707
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,4,1,no_moves,45,0.389484
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,5,1,objective,41,0.376592
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,6,1,objective,25,0.379313
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,7,1,no_moves,33,0.254747
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,8,2,no_moves,34,0.337622
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,9,2,objective,30,0.465105
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,10,1,objective,19,0.209465
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,11,2,objective,30,0.307125
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,12,1,objective,25,0.388972
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,13,2,no_moves,28,0.310128
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,14,1,objective,33,0.356006
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,15,2,objective,42,0.466999
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,16,2,no_moves,38,0.483333
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,17,1,objective,41,0.321525
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,18,1,objective,33,0.254339
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,19,2,no_moves,30,0.471391
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,20,2,objective,42,0.507287
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,21,1,objective,26,0.245868
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,22,2,objective,42,0.398235
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,23,1,objective,21,0.177386
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,24,2,no_moves,34,0.464223
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,25,1,objective,26,0.347712
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,26,1,objective,31,0.282982
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,27,2,objective,24,0.266606
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,28,2,no_moves,34,0.390938
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,29,2,objective,42,0.501525
H,Hd-Ad_s_7_200-1.txt,Hd,Ad,7,200,1,30,2,objective,40,0.455144
