folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,1,1,objective,27,0.338603
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,2,2,objective,42,0.399702
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,3,2,no_moves,26,0.325265
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,4,1,objective,19,0.218568
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,5,1,objective,35,0.374493
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,6,1,objective,27,0.195604
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,7,1,no_moves,33,0.268067
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,8,1,no_moves,39,0.392487
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,9,1,objective,27,0.321452
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,10,2,objective,42,0.475969
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,11,1,objective,33,0.298388
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,12,1,objective,29,0.368913
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,13,2,objective,10,0.215407
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,14,2,no_moves,24,0.307354
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,15,2,no_moves,26,0.378015
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,16,1,no_moves,33,0.292843
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,17,1,objective,21,0.197595
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,18,1,no_moves,25,0.301112
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,19,1,objective,31,0.353465
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,20,1,no_moves,17,0.240192
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,21,2,objective,31,0.395626
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,22,1,objective,29,0.36354
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,23,1,objective,19,0.304163
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,24,2,no_moves,44,0.379437
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,25,2,objective,42,0.411704
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,26,2,no_moves,26,0.362099
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,27,2,objective,32,0.266483
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,28,1,objective,31,0.28917
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,29,2,no_moves,24,0.279026
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,30,2,no_moves,38,0.498362
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,31,1,objective,17,0.202993
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,32,2,objective,38,0.479647
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,33,2,no_moves,26,0.380248
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,34,1,no_moves,41,0.344762
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,35,1,no_moves,33,0.370862
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,36,2,no_moves,34,0.358865
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,37,2,objective,30,0.419498
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,38,1,objective,31,0.32173
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,39,2,objective,32,0.351881
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,40,2,objective,42,0.514532
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,41,2,objective,40,0.518918
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,42,1,objective,33,0.377964
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,43,1,no_moves,27,0.372247
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,44,2,objective,36,0.292876
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,45,2,objective,10,0.221079
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,46,1,no_moves,9,0.151968
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,47,1,no_moves,9,0.118096
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,48,1,objective,29,0.329826
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,49,2,objective,42,0.482268
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,50,1,no_moves,35,0.335171
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,51,1,no_moves,25,0.34224
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,52,1,objective,33,0.352143
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,53,1,objective,27,0.303517
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,54,1,objective,33,0.341575
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,55,1,no_moves,37,0.52719
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,56,1,objective,29,0.33088
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,57,1,no_moves,9,0.142872
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,58,2,objective,40,0.392651
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,59,1,objective,37,0.328676
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,60,1,objective,29,0.344077
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,61,1,objective,43,0.390546
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,62,2,objective,42,0.406136
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,63,2,objective,42,0.398847
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,64,1,no_moves,35,0.580676
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,65,1,objective,27,0.316184
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,66,2,objective,42,0.383926
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,67,1,no_moves,43,0.396451
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,68,1,objective,26,0.234446
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,69,2,objective,30,0.464682
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,70,1,objective,27,0.19563
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,71,1,objective,19,0.307535
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,72,1,no_moves,33,0.250004
I,Id-Ad_s_7_200-1.txt,Id,Ad,7,200,1,73,1,no_moves,37,0.476562
