folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,1,1,no_moves,31,0.303023
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,2,1,no_moves,23,0.183206
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,3,1,no_moves,9,0.149817
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,4,2,no_moves,30,0.207639
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,5,1,objective,21,0.193448
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,6,1,no_moves,9,0.142942
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,7,1,objective,27,0.166854
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,8,2,objective,42,0.302412
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,9,2,objective,36,0.291852
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,10,2,no_moves,40,0.353328
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,11,2,objective,44,0.281224
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,12,2,no_moves,38,0.270786
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,13,2,objective,42,0.222397
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,14,2,objective,40,0.28797
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,15,2,objective,42,0.239778
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,16,2,objective,24,0.232184
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,17,1,no_moves,9,0.1377
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,18,1,objective,43,0.290986
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,19,1,objective,29,0.219468
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,20,2,objective,32,0.329381
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,21,2,objective,26,0.273261
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,22,2,no_moves,42,0.225181
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,23,1,objective,21,0.214407
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,24,1,objective,31,0.26057
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,25,1,objective,23,0.196651
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,26,2,no_moves,26,0.216929
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,27,1,no_moves,23,0.167812
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,28,1,objective,21,0.185911
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,29,2,no_moves,30,0.212186
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,30,2,objective,42,0.311174
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,31,1,no_moves,19,0.187794
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,32,1,no_moves,21,0.199791
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,33,2,no_moves,30,0.311092
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,34,1,objective,37,0.284726
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,35,2,objective,40,0.284004
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,36,1,no_moves,15,0.170585
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,37,2,objective,26,0.300626
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,38,2,objective,34,0.272052
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,39,2,no_moves,30,0.193953
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,40,1,no_moves,21,0.21654
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,41,2,no_moves,10,0.0994836
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,42,1,objective,41,0.198579
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,43,1,no_moves,23,0.194577
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,44,2,objective,44,0.241478
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,45,1,no_moves,15,0.147206
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,46,2,objective,38,0.293837
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,47,1,no_moves,25,0.14913
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,48,1,no_moves,33,0.309836
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,49,1,objective,19,0.226752
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,50,1,no_moves,25,0.143947
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,51,1,objective,40,0.258605
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,52,1,objective,33,0.183951
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,53,1,objective,35,0.193421
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,54,1,no_moves,27,0.240339
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,55,1,no_moves,23,0.176053
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,56,2,objective,42,0.290646
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,57,1,no_moves,23,0.164236
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,58,2,no_moves,40,0.243365
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,59,1,no_moves,9,0.144226
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,60,2,no_moves,28,0.204757
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,61,2,no_moves,38,0.297629
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,62,1,objective,31,0.175032
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,63,2,objective,42,0.284177
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,64,2,objective,38,0.307665
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,65,2,no_moves,28,0.201217
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,66,2,no_moves,38,0.219005
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,67,1,no_moves,33,0.320388
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,68,2,objective,26,0.319075
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,69,1,no_moves,25,0.144141
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,70,1,objective,21,0.21852
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,71,1,objective,27,0.199729
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,72,1,no_moves,15,0.158596
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,73,2,objective,38,0.293464
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,74,2,objective,34,0.284825
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,75,1,no_moves,21,0.204901
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,76,1,no_moves,9,0.136796
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,77,2,objective,40,0.183861
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,78,1,no_moves,9,0.152228
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,79,2,objective,34,0.30719
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,80,2,no_moves,40,0.343338
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,81,1,objective,39,0.178773
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,82,1,no_moves,27,0.28999
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,83,1,objective,25,0.164906
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,84,1,objective,19,0.141842
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,85,1,no_moves,25,0.186875
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,86,1,no_moves,23,0.162063
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,87,1,no_moves,9,0.152061
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,88,2,objective,29,0.280713
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,89,1,no_moves,25,0.167304
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,90,1,no_moves,41,0.249903
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,91,2,objective,32,0.235247
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,92,1,no_moves,25,0.147893
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,93,1,no_moves,23,0.213907
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,94,2,objective,40,0.270726
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,95,1,no_moves,27,0.161436
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,96,1,objective,35,0.206586
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,97,1,objective,33,0.174596
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,98,2,objective,36,0.245441
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,99,2,objective,32,0.263857
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,100,1,no_moves,21,0.23699
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,101,1,objective,29,0.146644
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,102,2,objective,42,0.259736
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,103,2,objective,26,0.27057
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,104,2,objective,39,0.315906
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,105,1,objective,31,0.143519
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,106,1,no_moves,13,0.191476
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,107,1,objective,31,0.148012
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,108,1,no_moves,33,0.315002
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,109,2,no_moves,36,0.295186
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,110,1,objective,35,0.182478
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,111,1,objective,32,0.226799
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,112,1,objective,37,0.252013
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,113,1,no_moves,23,0.181712
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,114,2,objective,32,0.241976
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,115,1,objective,21,0.191103
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,116,2,no_moves,26,0.205995
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,117,1,objective,26,0.158801
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,118,1,objective,34,0.261768
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,119,2,objective,36,0.278705
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,120,2,objective,40,0.242761
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,121,1,no_moves,21,0.200243
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,122,1,objective,21,0.198419
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,123,2,objective,24,0.22469
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,124,1,no_moves,9,0.143493
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,125,1,no_moves,27,0.217961
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,126,1,objective,29,0.188053
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,127,1,no_moves,23,0.195798
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,128,2,objective,38,0.285504
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,129,1,no_moves,9,0.139917
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,130,1,objective,31,0.216834
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,131,2,no_moves,42,0.295697
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,132,1,no_moves,23,0.17052
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,133,1,objective,29,0.205599
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,134,2,no_moves,14,0.144445
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,135,2,no_moves,36,0.237466
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,136,2,no_moves,34,0.270163
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,137,1,no_moves,9,0.137355
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,138,2,no_moves,10,0.0953821
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,139,1,objective,19,0.223298
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,140,2,objective,40,0.235827
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,141,1,no_moves,23,0.17124
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,142,2,no_moves,42,0.287563
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,143,1,no_moves,9,0.136821
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,144,1,no_moves,9,0.146783
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,145,1,objective,31,0.14581
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,146,2,no_moves,38,0.291403
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,147,1,no_moves,17,0.171885
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,148,2,no_moves,22,0.173026
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,149,1,no_moves,27,0.352238
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,150,2,objective,32,0.25064
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,151,1,objective,31,0.159981
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,152,1,objective,31,0.149821
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,153,1,objective,21,0.184873
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,154,1,objective,31,0.183161
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,155,1,no_moves,25,0.164544
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,156,2,no_moves,38,0.23724
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,157,1,no_moves,27,0.187409
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,158,2,no_moves,28,0.207294
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,159,1,objective,19,0.222513
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,160,1,objective,31,0.177594
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,161,2,objective,32,0.342753
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,162,2,objective,40,0.292827
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,163,2,no_moves,24,0.218466
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,164,1,no_moves,27,0.189079
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,165,2,no_moves,28,0.195213
J,Jd-Ad_s_7_200-1.txt,Jd,Ad,7,200,1,166,1,objective,21,0.216921
